src	src_class	ref_fqn	score	margin	strings	members	sample
src/main/java/com/moonsworth/lunar/genesis/ForwardingSortedSet.java	ForwardingSortedSet	com.google.common.collect.ForwardingSortedSet	82.49	40.33	0	37	Beta; ClassCastException; Comparable
src/main/java/com/moonsworth/lunar/genesis/ForwardingSortedSetMultimap.java	ForwardingSortedSetMultimap	com.google.common.collect.ForwardingSortedSetMultimap	43.61	14.36	0	20	Comparator; ForwardingSetMultimap; ForwardingSortedSetMultimap
src/main/java/com/moonsworth/lunar/genesis/FunctionalEquivalence.java	FunctionalEquivalence	com.google.common.base.FunctionalEquivalence	55.18	19.77	1	24	.onResultOf(; Beta; Function; FunctionalEquivalence
src/main/java/com/moonsworth/lunar/genesis/Functions$ConstantFunction.java	Functions$ConstantFunction	com.google.common.base.Functions$ConstantFunction	46.56	22.42	1	20	Functions.constant(; Function; Functions; Functions$ConstantFunction
src/main/java/com/moonsworth/lunar/genesis/Functions$ForMapWithDefault.java	Functions$ForMapWithDefault	com.google.common.base.Functions$ForMapWithDefault	66.64	26.32	2	27	, defaultValue=; Functions.forMap(; Function; Functions; Functions$ForMapWithDefault
src/main/java/com/moonsworth/lunar/genesis/Functions$FunctionComposition.java	Functions$FunctionComposition	com.google.common.base.Functions$FunctionComposition	29.03	9.51	0	18	Function; Functions$FunctionComposition; Nullable
src/main/java/com/moonsworth/lunar/genesis/Functions$FunctionForMapNoDefault.java	Functions$FunctionForMapNoDefault	com.google.common.base.Functions$FunctionForMapNoDefault	69.97	28.41	2	29	Functions.forMap(; Key '%s' not present in map; Function; Functions; Functions$FunctionForMapNoDefault
src/main/java/com/moonsworth/lunar/genesis/Functions$PredicateFunction.java	Functions$PredicateFunction	com.google.common.base.Functions$PredicateFunction	50.22	24.42	1	22	Functions.forPredicate(; Boolean; Function; Functions
src/main/java/com/moonsworth/lunar/genesis/Functions$SupplierFunction.java	Functions$SupplierFunction	com.google.common.base.Functions$SupplierFunction	49.75	25.37	1	22	Functions.forSupplier(; Function; Functions; Functions$SupplierFunction
src/main/java/com/moonsworth/lunar/genesis/Funnel.java	Funnel	com.google.common.hash.Funnel	46.84	29.41	1	14	Implement with a lambda; Beta; DoNotMock; Funnel
src/main/java/com/moonsworth/lunar/genesis/Funnels$SequentialFunnel.java	Funnels$SequentialFunnel	com.google.common.hash.Funnels$SequentialFunnel	55.36	25.21	1	22	Funnels.sequentialFunnel(; Funnel; Funnels; Funnels$SequentialFunnel
src/main/java/com/moonsworth/lunar/genesis/Funnels$SinkAsStream.java	Funnels$SinkAsStream	com.google.common.hash.Funnels$SinkAsStream	39.94	21.00	1	12	Funnels.asOutputStream(; Funnels; Funnels$SinkAsStream; OutputStream
src/main/java/com/moonsworth/lunar/genesis/Funnels$StringCharsetFunnel$SerializedForm.java	Funnels$StringCharsetFunnel$SerializedForm	com.google.common.hash.Funnels$StringCharsetFunnel$SerializedForm	25.72	9.92	0	12	Charset; Funnels$StringCharsetFunnel$SerializedForm; Object
