package	n_classes	n_lazy	sample
com.moonsworth.lunar.client.fog.holograms.mixin	8	6	Holograms,Holograms2,Holograms3,Holograms4,Holograms5,Holograms6
com.moonsworth.lunar.client.fog.holograms.nameplate	17	12	Data6,FogHandler,Nameplate,Nameplate2,Nameplate2_2,Nameplate3
com.moonsworth.lunar.client.fog.holograms.nameplate.mixin	1	0	Nameplate
com.moonsworth.lunar.client.fog.holograms.rewindhandlers	5	0	Bridge13Handler,Highlight3Iterator23,Highlight3Iterator23$Data,Highlight3Iterator23_2,Rewindhandlers
com.moonsworth.lunar.client.fog.mixin	1	0	Gui2Handler
com.moonsworth.lunar.client.fog.nameplate	2	0	Gui2Handler,NameplateTask
com.moonsworth.lunar.client.fog.rewindhandlers	2	1	RewindhandlersType,RewindhandlersType2
com.moonsworth.lunar.client.fov	62	23	Data,Data2,Extension,Fov,Fov10,Fov11
com.moonsworth.lunar.client.fov.mixin	12	8	Data,Data2,Data3,Extension,Fov,Fov2
com.moonsworth.lunar.client.fov.mixin.nameplate	1	1	ModuleType3
com.moonsworth.lunar.client.fov.mixin.rewindhandlers	3	2	Data5,Gui2Iterator,Rewindhandlers,Rewindhandlers2
com.moonsworth.lunar.client.fov.mixin.rewindhandlers.mixin	10	9	RewindhandlersImpl,RewindhandlersImpl10,RewindhandlersImpl2,RewindhandlersImpl3,RewindhandlersImpl4,RewindhandlersImpl5
com.moonsworth.lunar.client.fov.nameplate	7	6	Nameplate,Nameplate2,Nameplate3,Nameplate4,Nameplate5,Nameplate6
com.moonsworth.lunar.client.fps	46	28	Data,Data10,Data11,Data12,Data13,Data14
com.moonsworth.lunar.client.fps.mixin	1	0	EvaluatableImpl
com.moonsworth.lunar.client.framework	112	25	AbstractFeature,AlertExtension,ArgumentCommandNode,BackgroundHudComponent,BoundArguments,Calculator2Handler
com.moonsworth.lunar.client.framework.build	1	0	BuildDataKey,LunarBuildData
com.moonsworth.lunar.client.framework.combat	1	0	Data,PlayerCombatState
com.moonsworth.lunar.client.framework.crash	6	0	CrashReportError,CrashReporter,ExceptionSanitizer,IchorStackTraceFilter,IgnoredExceptionPatterns,ThrowableJsonSerializer
com.moonsworth.lunar.client.framework.feature	8	1	HudElement,HudElementBounds,ModOptionOverrides,Module,Module2,ModuleHandler
com.moonsworth.lunar.client.framework.feature.animations.customhelditems	4	0	CustomhelditemsType,HeldItemHand,Lighting3Loader,Lighting3Loader2
com.moonsworth.lunar.client.framework.feature.armorstatus	5	0	ArmorStatusListMode,ArmorStatusSlot,DurabilityDisplayMode,DurabilityPosition,HotbarPosition
com.moonsworth.lunar.client.framework.feature.armorstatus.armorstatusbarschild	2	1	Armorstatusbarschild,Armorstatusbarschild2,Data,Type
com.moonsworth.lunar.client.framework.feature.armorstatus.hud	7	0	ArmorStatusDurabilityRenderer,ArmorStatusElement,ArmorStatusElementChildMod,ArmorStatusElementHud,ArmorStatusElementProvider,ArmorStatusHud
com.moonsworth.lunar.client.framework.feature.armorstatus.mixin	5	3	ArmorstatusType,Gui2Extension,Gui2Extension2,Gui2Extension3,Gui2Extension4
com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate	5	4	Nameplate,Nameplate2,Nameplate3,Nameplate4,Nameplate5
com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate.mixin	2	1	Framework7Extension2,Nameplate
com.moonsworth.lunar.client.framework.feature.attackindicator	15	0	AbstractItemAttackIndicator,AttackIndicatorMode,AttackIndicatorProvider,AttackIndicatorState,BlockBreakAttackIndicator,BowAttackIndicator
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	14	2	Attackindicator,Attackindicator2,Attackindicator2Handler,Attackindicator2Handler2,Attackindicator2Handler22,Attackindicator2Handler23
com.moonsworth.lunar.client.framework.feature.autotextactions	2	0	AutoTextAction,Lighting3Loader
com.moonsworth.lunar.client.framework.feature.blockoutline	5	1	BlockOutlineMode,BlockOverlayMode,Blockoutline,Gui2Extension,Gui2Extension2,and
com.moonsworth.lunar.client.framework.feature.chat	12	4	Chat,Chat2,Chat3,Chat4,Chat5,ChatEmojiTransformer
com.moonsworth.lunar.client.framework.feature.colorsaturation	2	0	ColorSaturationShader,ColorsaturationExtension
com.moonsworth.lunar.client.framework.feature.cooldowns	6	0	Cooldown,CooldownTextPosition,Cooldowns,Gui2Extension,IconCooldown,ItemCooldown
com.moonsworth.lunar.client.framework.feature.cooldowns.mixin	2	1	CooldownsImpl,CooldownsImpl2
com.moonsworth.lunar.client.framework.feature.coordinates	4	1	CoordinatesBiomeChildMod,CoordinatesChildHudModImpl,CoordinatesChildHudModImpl2,CoordinatesDirectionChildMod,Data
com.moonsworth.lunar.client.framework.feature.crosshair	10	2	Crosshair,Crosshair2,Crosshair3,CrosshairGridSize,CrosshairMode,CrosshairPattern
com.moonsworth.lunar.client.framework.feature.crosshair.crosshairelytra	6	2	CrosshairShapeDrawer,CrosshairShapeRenderer,CrosshairTextureRenderer,Crosshairelytra,Crosshairelytra2,Crosshairelytra3
com.moonsworth.lunar.client.framework.feature.crosshair.mixin	5	3	CrosshairType,Gui2Extension,Gui2Extension2,Gui2Extension3,Gui2Extension4
com.moonsworth.lunar.client.framework.feature.debug	3	0	Data,Debug,DebugType,Extension,Gui2Extension,Type
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod	18	3	Data,Data2,DebugArchive,DynamicListenerDebugTask,EventBusDebugTask,F3DataTask
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.mixin	10	3	Fpsdebugmod,Fpsdebugmod2,Fpsdebugmod3,Fpsdebugmod4,Fpsdebugmod4Impl,Fpsdebugmod4Impl2
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.profilerdebugmod	20	5	AllThreadsProfiler,Data,Profile,ProfileCallNode,ProfileEncoder,ProfileFlag
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.profilerdebugmod.mixin	2	0	Profilerdebugmod,ProfilerdebugmodIterator
com.moonsworth.lunar.client.framework.feature.debug.optimizationdebugmod	4	1	OptimizationDebugCategory,OptimizationDebugOption,OptimizationdebugmodType,OptimizationdebugmodType2
com.moonsworth.lunar.client.framework.feature.debug.shaderdebugmod	11	6	Data,Data2,Markers3Handler,ShaderCloakEditorContext,ShaderCloakExporter,ShaderDebugJsBridge
com.moonsworth.lunar.client.framework.feature.directionhud	6	2	Data,DirectionHudPosition,Directionhud,Directionhud2,Directionhud3,Directionhud3Impl
com.moonsworth.lunar.client.framework.feature.f3display	22	0	F3DebugConditionalWriter,F3DebugEntry,F3DebugInfo,F3DebugLine,F3DebugMeasurer,F3DebugRenderer
com.moonsworth.lunar.client.framework.feature.f3display.chart	6	0	BandwidthChart,F3Chart,FpsChart,GpuChart,PingChart,RamChart
com.moonsworth.lunar.client.framework.feature.f3display.mixin	6	0	F3display,F3displayImpl,F3displayImpl2,F3displayImpl3,F3displayImpl4,F3displayImpl5
com.moonsworth.lunar.client.framework.feature.freelook	2	0	FreelookMode,Gui2Extension
com.moonsworth.lunar.client.framework.feature.gui	5	4	Data4,Gui,Gui2,GuiUpdater,GuiUpdater2,GuiUpdater3
