package	old	new	evidence
com.moonsworth.lunar.genesis	IterableExtension	SortedIterable	Guava 29.0-jre com/google/common/collect/SortedIterable (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	IterableIterator$Data	FluentIterable$FromIterableFunction	Guava 29.0-jre com/google/common/collect/FluentIterable$FromIterableFunction (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	LockBase	ForwardingLock	Guava 29.0-jre com/google/common/util/concurrent/ForwardingLock (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MapExtension	BiMap	Guava 29.0-jre com/google/common/collect/BiMap (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MapExtension2	ClassToInstanceMap	Guava 29.0-jre com/google/common/collect/ClassToInstanceMap (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MapExtension_2	TypeToInstanceMap	Guava 29.0-jre com/google/common/reflect/TypeToInstanceMap (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper	HostSpecifier	Guava 29.0-jre com/google/common/net/HostSpecifier (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$1	ImmutableEnumSet$1	Guava 29.0-jre com/google/common/collect/ImmutableEnumSet$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$1_3	SubscriberRegistry$1	Guava 29.0-jre com/google/common/eventbus/SubscriberRegistry$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$1_4	ImmutableTable$1	Guava 29.0-jre com/google/common/collect/ImmutableTable$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$1_5	FuturesGetChecked$1	Guava 29.0-jre com/google/common/util/concurrent/FuturesGetChecked$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$1_6	Interners$1	Guava 29.0-jre com/google/common/collect/Interners$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$2	SubscriberRegistry$2	Guava 29.0-jre com/google/common/eventbus/SubscriberRegistry$2 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data24	UnsignedLongs$ParseOverflowDetection	Guava 29.0-jre com/google/common/primitives/UnsignedLongs$ParseOverflowDetection (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data32	Synchronized$SynchronizedListMultimap	Guava 29.0-jre com/google/common/collect/Synchronized$SynchronizedListMultimap (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data35	Synchronized$SynchronizedObject	Guava 29.0-jre com/google/common/collect/Synchronized$SynchronizedObject (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data37	Synchronized$SynchronizedSet	Guava 29.0-jre com/google/common/collect/Synchronized$SynchronizedSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data42	Synchronized$SynchronizedEntry	Guava 29.0-jre com/google/common/collect/Synchronized$SynchronizedEntry (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data48$Type2$1	FuturesGetChecked$GetCheckedTypeValidatorHolder$ClassValueValidator$1	Guava 29.0-jre com/google/common/util/concurrent/FuturesGetChecked$GetCheckedTypeValidatorHolder$ClassValueValidator$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data49	Quantiles$ScaleAndIndex	Guava 29.0-jre com/google/common/math/Quantiles$ScaleAndIndex (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data51	Quantiles$ScaleAndIndexes	Guava 29.0-jre com/google/common/math/Quantiles$ScaleAndIndexes (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data52	SubscriberRegistry$MethodIdentifier	Guava 29.0-jre com/google/common/eventbus/SubscriberRegistry$MethodIdentifier (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data53	Traverser$GraphTraverser	Guava 29.0-jre com/google/common/graph/Traverser$GraphTraverser (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Data54	Traverser$TreeTraverser	Guava 29.0-jre com/google/common/graph/Traverser$TreeTraverser (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper$Extension5	FuturesGetChecked$GetCheckedTypeValidator	Guava 29.0-jre com/google/common/util/concurrent/FuturesGetChecked$GetCheckedTypeValidator (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10	Primitives	Guava 29.0-jre com/google/common/primitives/Primitives (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$1	Runnables$1	Guava 29.0-jre com/google/common/util/concurrent/Runnables$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$1_3	Stopwatch$1	Guava 29.0-jre com/google/common/base/Stopwatch$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$1_4	JdkBackedImmutableBiMap$1	Guava 29.0-jre com/google/common/collect/JdkBackedImmutableBiMap$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$Data14	Sets$ImprovedAbstractSet	Guava 29.0-jre com/google/common/collect/Sets$ImprovedAbstractSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$Data15	Sets$PowerSet	Guava 29.0-jre com/google/common/collect/Sets$PowerSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$Data5	ByteSink$AsCharSink	Guava 29.0-jre com/google/common/io/ByteSink$AsCharSink (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$Data6	Sets$SubSet	Guava 29.0-jre com/google/common/collect/Sets$SubSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$Data8	Sets$Accumulator	Guava 29.0-jre com/google/common/collect/Sets$Accumulator (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10$Data9	Sets$DescendingSet	Guava 29.0-jre com/google/common/collect/Sets$DescendingSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	MixinHelper10_3	Runnables	Guava 29.0-jre com/google/common/util/concurrent/Runnables (coverage matcher score 1.000)
