count	file	class	tokens
293	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/Holograms3.java	Holograms3	field,method,number,obj,text,value
292	com/moonsworth/lunar/client/mod/misc/HypixelBedwars.java	HypixelBedwars	field,flag,method,number,text
291	com/moonsworth/lunar/client/mod/hud/TimerChildMod.java	TimerChildMod	field,flag,method,number,text,value
291	com/moonsworth/lunar/client/mod/hud/PackDisplay.java	PackDisplay	arg,field,flag,method,number,text,value
291	com/moonsworth/lunar/client/markers/mixin/holograms/mixin/Holograms2Iterator.java	Holograms2Iterator	arg,field,flag,method,text
290	com/moonsworth/lunar/forge/lib/guava/collect/AbstractMapBasedMultimap.java	AbstractMapBasedMultimap	arg,flag,number,obj,value
290	com/moonsworth/lunar/client/mod/hud/SkyblockTerminalStatus.java	SkyblockTerminalStatus	field,flag,method,number,text
290	com/moonsworth/lunar/client/framework/feature/pkg/mixin/Pkg4.java	Pkg4	field,flag,method,number,obj,value
288	com/moonsworth/lunar/forge/lib/MixinExtra10.java	MixinExtra10	field,flag,method,number,text
284	com/moonsworth/lunar/client/framework/feature/rewind/Rewind4.java	Rewind4	arg,field,flag,method
283	com/moonsworth/lunar/client/framework/feature/rewind/mixin/nameplate/Nameplate.java	Nameplate	field,flag,method,number,text
282	com/moonsworth/lunar/client/markers/Markers_2.java	Markers_2	field,flag,method,number,value
280	com/moonsworth/lunar/client/mod/hud/SkyblockFishingInfoHud.java	SkyblockFishingInfoHud	field,flag,method,number,text,value
279	com/moonsworth/lunar/client/util/ThreadModuleDump63.java	ThreadModuleDump63	field,flag,method,obj,text
279	com/moonsworth/lunar/client/markers/Markers4.java	Markers4	arg,field,flag,method,obj,text
277	com/moonsworth/lunar/forge/lib/InputStreamLoader_8.java	InputStreamLoader_8	field,flag,method,number,text
276	com/moonsworth/lunar/ichor/util/FatalIchorError6.java	FatalIchorError6	field,flag,method,number,obj,text,value
276	com/moonsworth/lunar/client/mod/hud/ItemCounter.java	ItemCounter	arg,field,flag,method,text,value
273	com/moonsworth/lunar/client/mod/misc/SkyblockForagingBeaconSolver.java	SkyblockForagingBeaconSolver	field,method,number,text,value
268	com/moonsworth/lunar/legacy/mixin/RendererLivingEntityMixin2.java	RendererLivingEntityMixin2	arg,flag,method,number,text,value
268	com/moonsworth/lunar/forge/lib/MixinExtra10Loader4.java	MixinExtra10Loader4	field,flag,method,number
266	com/moonsworth/lunar/client/framework/feature/keystrokes/mixin/Keystrokes.java	Keystrokes	field,flag,method,number,value
265	com/moonsworth/lunar/genesis/MixinHelper5242.java	MixinHelper5242	field,method,number
263	com/moonsworth/lunar/client/mod/misc/GeckolibDebugMod.java	GeckolibDebugMod	arg,field,flag,method,text,value
263	com/moonsworth/lunar/client/framework/feature/mod/gui/mixin/Gui.java	Gui	arg,field,flag,method,obj,text,value
261	com/moonsworth/lunar/client/util/ColorMath.java	ColorMath	field,method,number,value
260	com/moonsworth/lunar/client/util/TimeFormatting.java	TimeFormatting	flag,method,number,text,value
260	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/coordinates/Coordinates.java	Coordinates	field,flag,method,number,text,value
259	com/moonsworth/lunar/forge/lib/guava/hash/FarmHashFingerprint64.java	FarmHashFingerprint64	number
259	com/moonsworth/lunar/client/framework/feature/mod/gui/mixin/Bridge7Iterator.java	Bridge7Iterator	field,method,number,text,value
259	com/moonsworth/lunar/client/fog/Lighting3Loader2.java	Lighting3Loader2	field,flag,method,number,obj,text
258	com/moonsworth/lunar/forge/lib/MixinHelper72.java	MixinHelper72	field,flag,method,number
258	com/moonsworth/lunar/client/mod/misc/SettingsOverrideDebug.java	SettingsOverrideDebug	arg,field,flag,method,number,obj,text,value
258	com/moonsworth/lunar/client/mod/hud/SkyblockInvincibilityHud.java	SkyblockInvincibilityHud	field,flag,method,number,text,value
258	com/moonsworth/lunar/client/markers/mixin/gui/mixin/GuiExtension12.java	GuiExtension12	field,flag,method,text
258	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/rewindhandlersCore/RewindHandlers3Impl8.java	RewindHandlers3Impl8	arg,field,flag,method,number,value
257	com/moonsworth/lunar/client/mod/render/SkyblockStorageHoverPreview.java	SkyblockStorageHoverPreview	arg,field,method,number,text
257	com/moonsworth/lunar/client/mod/combat/KnockbackGroundGraph.java	KnockbackGroundGraph	field,flag,method,number,value
257	com/moonsworth/lunar/client/framework/feature/saturation/Saturation2.java	Saturation2	field,flag,method,number,value
255	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/Holograms3_3.java	Holograms3_3	arg,field,flag,method,text
254	com/moonsworth/lunar/client/mod/misc/SkyblockChestProfit.java	SkyblockChestProfit	field,flag,method,number,text
254	com/moonsworth/lunar/client/markers/mixin/gui/mixin/Gui17.java	Gui17	arg,flag,method,text
253	com/moonsworth/lunar/forge/lib/guava/collect/CompactHashMap.java	CompactHashMap	number,obj,value
253	com/moonsworth/lunar/client/framework/feature/hypixelbedwars/bedwars/Bedwars.java	Bedwars	field,flag,method,number,text
252	com/moonsworth/lunar/client/mod/hud/RewindRecordingIndicatorChild.java	RewindRecordingIndicatorChild	field,flag,method,number,text,value
251	com/moonsworth/lunar/client/mod/render/SkyblockGalateaMobHighlight.java	SkyblockGalateaMobHighlight	arg,field,method,number,value
251	com/moonsworth/lunar/client/mod/misc/SkyblockGlaciteCommissions.java	SkyblockGlaciteCommissions	arg,field,flag,method,number,value
251	com/moonsworth/lunar/client/inactive/mixin/FogIterator.java	FogIterator	arg,field,flag,method,obj,text
248	com/moonsworth/lunar/client/mod/misc/RewindHandlers5.java	RewindHandlers5	field,flag,method,number,text
247	com/moonsworth/lunar/forge/lib/guava/collect/ImmutableList.java	ImmutableList	number,obj,value
247	com/moonsworth/lunar/client/mod/misc/SkyblockTrophyFishExchangeRate.java	SkyblockTrophyFishExchangeRate	field,flag,method,number,text
247	com/moonsworth/lunar/client/mod/misc/SkyblockEnhancedMinionMenu.java	SkyblockEnhancedMinionMenu	field,flag,method,number,obj,text,value
245	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/Holograms2.java	Holograms2	arg,field,flag,method,number,text,value
245	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/Holograms5_2.java	Holograms5_2	field,flag,method,number,obj,text,value
244	com/moonsworth/lunar/forge/lib/guava/base/CharMatcher.java	CharMatcher	flag,number,text
242	com/moonsworth/lunar/forge/lib/MixinShared2.java	MixinShared2	field,method,number
242	com/moonsworth/lunar/client/mod/render/SpiritLeapOverlay.java	SpiritLeapOverlay	field,flag,method,number,text
242	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/Rewindhandlers2.java	Rewindhandlers2	field,flag,method,number,text,value
242	com/moonsworth/lunar/client/framework/feature/gui/GuiUpdater.java	GuiUpdater	field,flag,method,number,text,value
241	com/moonsworth/lunar/client/mod/misc/SkyblockKuudra.java	SkyblockKuudra	field,method,text,value
241	com/moonsworth/lunar/client/mod/misc/SkyblockBlazeSlayer.java	SkyblockBlazeSlayer	arg,field,flag,method,text
240	com/moonsworth/lunar/client/framework/feature/waypoints/GuiHandler.java	GuiHandler	field,flag,method,number,text
239	com/moonsworth/lunar/legacy/mixin/GuiPlayerTabOverlayTabMixin.java	GuiPlayerTabOverlayTabMixin	arg,flag,method,number,text,value
238	com/moonsworth/lunar/client/framework/feature/mod/holograms/rewindhandlers/Rewindhandlers.java	Rewindhandlers	field,method,number,text
237	com/moonsworth/lunar/forge/lib/MixinHelper3_2.java	MixinHelper3_2	field,flag,method,number,text
237	com/moonsworth/lunar/client/mod/player/SlotBinding.java	SlotBinding	arg,field,method,number
